Title,Main Story,Main + Extras,Completionist
Zero Caliber VR,4.92,6.94,8.27
Yakuza 0,31.52,64.49,145.14
Hot Lava,7.41,16.36,24.38
Shenmue I & II,35.57,43.37,47.59
Just Cause 3,18.28,37.7,63.23
Valheim,79.6,102.52,143.41
Aimlabs,5.14,0.0,40.36

Coloring Pixels,46.69,211.13,375.56
Bendy and the Ink Machine,4.58,7.09,12.3
Hand Simulator: Survival,1.39,0.0,2.0
For Honor,7.05,10.86,17.67

Himno,0.6,1.29,2.09
Sparklite,9.44,9.99,12.29
Among Us,8.09,15.49,27.89
The Tiny Bang Story,3.49,3.56,3.79
Cepheus Protocol,0.0,0.0,2.29
Borderlands 2 VR,0.0,0.0,98.29
Metro Exodus,15.79,23.91,40.85
Metro Exodus Enhanced Edition,15.79,23.91,40.85
Company of Heroes 2,15.51,24.94,64.01

DUSK,7.55,9.59,16.92
Amnesia: Rebirth,8.74,10.75,14.31

Islands of Nyne: Battle Royale,0.0,0.0,0.0
Into the Radius VR,21.73,35.23,61.51
ONE PIECE World Seeker,11.79,20.15,32.41
Mafia: Definitive Edition,10.62,13.11,24.66

Halo: The Master Chief Collection,43.27,70.71,307.94
Fearless Fantasy,3.33,4.17,4.97
Garfield Kart - Furious Racing,2.15,5.17,11.34
Guacamelee! Super Turbo Championship Edition,6.99,9.97,15.84
Budget Cuts 2: Mission Insolvency,4.38,6.72,0.0
Kao the Kangaroo: Round 2,4.68,6.0,8.19
Destiny 2,12.23,41.55,190.87


We Need To Go Deeper,13.28,0.0,0.0
Ready or Not,15.54,26.57,51.68
Skul: The Hero Slayer,20.88,38.08,60.0
DOOM 64,7.12,9.13,10.43
Espire 1: VR Operative,4.65,6.0,8.0
Gloomwood,4.77,7.9,12.75
DiRT Rally,28.7,69.68,149.93
Carto,5.51,6.22,6.62
Apex Legends,29.77,67.26,141.29
Red Dead Redemption 2,50.57,83.83,188.27
Star Fetchers,0.87,1.06,1.14
Not For Broadcast: Prologue,0.39,0.4,0.43
Gunfire Reborn,13.72,37.98,97.59
Blue Fire,9.95,12.5,13.38
Blue Fire: Void Maker,2.0,4.0,6.0
The Walking Dead: Saints & Sinners,10.38,13.42,23.29
Severed Steel,3.03,6.4,22.76
Everhood,6.59,9.52,22.07
Borderlands 3,23.39,45.58,80.09



Black Desert,94.97,287.31,2060.45
Headsnatchers,0.86,3.27,10.67
Drawful 2,1.36,6.34,6.51
Tomb Raider,11.33,15.46,20.86
Lara Croft and the Temple of Osiris,5.17,6.99,12.93
tModLoader,49.38,124.4,148.83
Devolverland Expo,0.78,0.93,1.42
Persona 4 Golden,67.59,84.15,135.09
POLYGON,0.0,0.0,0.0
Total War: SHOGUN 2,27.23,72.06,216.15

Yakuza: Like a Dragon,45.64,67.86,102.87
Unfortunate Spacemen,1.75,2.7,68.17
Cruelty Squad,6.35,13.15,24.04
PGA TOUR 2K21,22.27,29.16,45.75

Escape Simulator,7.58,10.99,12.5
The Walking Dead: The Telltale Definitive Series,41.67,46.68,48.65
The Ramp,0.39,0.66,1.05
Pumped BMX Pro,15.0,17.0,18.0
Ultimate Epic Battle Simulator,0.91,14.63,19.0
Vomitoreum,2.68,3.42,4.66
XCOM: Enemy Unknown,26.66,37.72,68.3
XCOM 2,33.28,47.86,83.6
XCOM: Chimera Squad,21.39,27.24,64.47
High On Life,9.26,12.78,21.49
Resident Evil Village,9.83,12.81,38.39
Resident Evil Re:Verse,1.89,3.92,6.52
Tell Me Why,9.68,11.17,13.71
Little Nightmares,3.57,5.03,8.61
Museum of Other Realities,0.33,0.0,0.0
Titan Souls,3.12,4.01,7.14
Resident Evil 2,8.79,15.36,36.26
Resident Evil 3,6.04,7.67,20.56

Bopl Battle,0.0,0.0,0.0

Halo Infinite,11.33,19.39,29.3
Titan Quest Anniversary Edition,31.15,45.65,121.26
Jagged Alliance Gold,10.67,26.83,27.62
In Sound Mind,10.14,13.52,15.54
Crab Game,2.67,5.34,47.8
"Drones, The Human Condition",0.72,0.0,1.74

Ghostwire: Tokyo,11.3,22.76,41.78
Call of Juarez Gunslinger,5.08,7.01,14.17

DOOM Eternal,14.43,20.44,28.63
The Elder Scrolls III: Morrowind,44.01,105.27,300.22

The Looker,1.23,1.36,1.41
Portal with RTX,3.12,5.25,10.29
Scorn,5.35,6.08,6.22
ARK: Survival Evolved,67.82,218.81,517.28
ARK: Survival Of The Fittest,51.5,0.0,55.25

Warhammer: Vermintide 2,10.91,28.61,134.94

Atomic Heart,16.25,24.96,36.52


Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,5.83,10.71,37.37
Remnant II,18.15,28.94,82.38
Trepang2,5.17,8.36,17.7
Marvel Rivals,16.51,35.91,85.51
Buckshot Roulette,0.43,1.64,8.31
Monster Hunter: World,46.43,114.18,422.98
Content Warning,2.23,5.19,19.73
Deadlock,20.63,47.48,0.0
Witchfire,12.57,19.32,54.0
Team Fortress 2,302.23,598.53,2616.46
Dota 2,850.83,1138.89,2285.63
